Indexer Initialized. Flattened 840 sets into vectors of size 2520

Building Static Game Trees in RAM...
Detected 10 CPU Cores.
Starting multithreaded CFR Training (10000000 games total)...

Time:  13.9738 seconds
Speed: 715623 games/sec

Training Complete.

=== LEARNED STRATEGY (Atomic Based) ===
Info Set (Card:Hist)     Fold           Call/Check     Bet/Raise      
J:Q:rrrccrr              0.315          0.516          0.169          
J:Q:rrrccrrr             0.191          0.113          0.696          
J:Q:rrrccrrrr            0.640          0.360          0.000          
J:Q:rrrcr                0.471          0.326          0.203          
J:Q:rrrcrr               0.977          0.015          0.008          
J:Q:rrrcrrr              0.865          0.019          0.117          
J:Q:rrrcrrrr             0.702          0.298          0.000          
J:Q:rrrrc                0.778          0.212          0.009          
J:Q:rrrrcc               0.019          0.246          0.735          
J:Q:rrrrccr              0.496          0.442          0.062          
J:Q:rrrrccrr             0.500          0.417          0.083          
J:Q:rrrrccrrr            0.063          0.063          0.873          
J:Q:rrrrccrrrr           0.792          0.208          0.000          
J:Q:rrrrcr               0.654          0.021          0.325          
J:Q:rrrrcrr              0.217          0.235          0.547          
J:Q:rrrrcrrr             0.394          0.306          0.300          
J:Q:rrrrcrrrr            0.699          0.301          0.000          
K:*:                     0.003          0.256          0.741          
K:*:c                    0.003          0.127          0.870          
K:*:cr                   0.004          0.447          0.549          
K:*:crr                  0.001          0.003          0.995          
K:*:crrr                 0.002          0.076          0.922          
K:*:crrrr                0.000          0.999          0.000          
K:*:r                    0.003          0.321          0.676          
K:*:rr                   0.001          0.097          0.902          
K:*:rrr                  0.002          0.578          0.421          
K:*:rrrr                 0.000          0.999          0.000          
K:J:cc                   0.005          0.899          0.096          
K:J:ccc                  0.008          0.981          0.011          
K:J:cccr                 0.350          0.643          0.006          
K:J:cccrr                0.252          0.447          0.301          
K:J:cccrrr               0.083          0.260          0.657          
K:J:cccrrrr              0.399          0.601          0.000          
K:J:ccr                  0.153          0.833          0.014          
K:J:ccrr                 0.878          0.107          0.015          
K:J:ccrrr                0.193          0.303          0.504          
K:J:ccrrrr               0.466          0.534          0.000          
K:J:crc                  0.003          0.906          0.091          
K:J:crcc                 0.001          0.837          0.162          
