Indexer Initialized. Flattened 840 sets into vectors of size 2520

Building Static Game Trees in RAM...
Detected 10 CPU Cores.
Starting multithreaded CFR Training (10000000 games total)...

Time:  1.02184 seconds
Speed: 9.78626e+06 games/sec

Training Complete.

=== LEARNED STRATEGY (Vector Based) ===
Info Set (Card:Hist)     Fold           Call/Check     Bet/Raise      
J:Q:rrrcc                0.210          0.782          0.008          
J:Q:rrrccr               0.575          0.092          0.333          
J:Q:rrrccrr              0.490          0.290          0.220          
J:Q:rrrccrrr             0.820          0.059          0.121          
J:Q:rrrccrrrr            0.826          0.174          0.000          
J:Q:rrrcr                0.793          0.079          0.128          
J:Q:rrrcrr               0.786          0.080          0.135          
J:Q:rrrcrrr              0.812          0.089          0.099          
J:Q:rrrcrrrr             0.530          0.470          0.000          
J:Q:rrrrc                0.190          0.609          0.201          
J:Q:rrrrcc               0.089          0.781          0.130          
J:Q:rrrrccr              0.485          0.352          0.163          
J:Q:rrrrccrr             0.271          0.230          0.499          
J:Q:rrrrccrrr            0.255          0.094          0.651          
J:Q:rrrrccrrrr           0.521          0.479          0.000          
J:Q:rrrrcr               0.614          0.261          0.124          
J:Q:rrrrcrr              0.330          0.602          0.068          
J:Q:rrrrcrrr             0.269          0.173          0.557          
J:Q:rrrrcrrrr            0.500          0.500          0.000          
K:*:                     0.000          0.568          0.432          
K:*:c                    0.000          0.293          0.707          
K:*:cr                   0.000          0.592          0.408          
K:*:crr                  0.000          0.431          0.569          
K:*:crrr                 0.000          0.416          0.584          
K:*:crrrr                0.000          1.000          0.000          
K:*:r                    0.000          0.651          0.349          
K:*:rr                   0.000          0.396          0.604          
K:*:rrr                  0.000          0.367          0.633          
K:*:rrrr                 0.000          1.000          0.000          
K:J:cc                   0.000          0.999          0.000          
K:J:ccc                  0.000          0.999          0.001          
K:J:cccr                 0.469          0.531          0.000          
K:J:cccrr                0.424          0.237          0.340          
K:J:cccrrr               0.115          0.179          0.706          
K:J:cccrrrr              0.135          0.865          0.000          
K:J:ccr                  0.334          0.666          0.000          
K:J:ccrr                 0.718          0.110          0.172          
K:J:ccrrr                0.204          0.206          0.590          
